gap_rank,approved_symbol,approved_name,target_id,biotype,association_score,literature_mentions,trial_mentions,literature_documents_mentioned,trial_documents_mentioned,literature_to_trial_gap_signal,evidence_strength_norm,literature_signal_norm,trial_signal_norm,underexploration_norm,literature_trial_gap_norm,gap_score,conservative_gap_score,gap_category,gap_interpretation_tier,text_coverage_status,symbol_ambiguity_flag,mention_match_quality,interpretation_note
11,MTOR,mechanistic target of rapamycin kinase,ENSG00000198793,protein_coding,0.4937230577264579,3,0,3,0,3,0.30251909588904047,0.32521662454326833,0.0,1.0,0.32521662454326833,0.316138,0.313868,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (3), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.30), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
12,SCD,stearoyl-CoA desaturase,ENSG00000099194,protein_coding,0.4806305565235538,6,9,2,5,-3,0.27822901811623946,0.4564992458232521,0.5300847688549171,0.46991523114508293,0.21451594861858952,0.312596,0.294769,High-priority gap signal,Established / trial-covered target,checked_with_mentions,moderate,moderate_ambiguity_review,"High trial mention count (9), but symbol ambiguity is 'moderate'. Some trial mentions may reflect non-gene uses of 'SCD'. Manual validation recommended. Not classified as a gap candidate."
13,ACE,angiotensin I converting enzyme,ENSG00000159640,protein_coding,0.6341919427542662,1,4,1,1,-3,0.5631263006626602,0.16260831227163416,0.37051335318497886,0.6294866468150211,0.10235976123612084,0.304741,0.344793,High-priority gap signal,Established / trial-covered target,checked_with_mentions,moderate,moderate_ambiguity_review,"High trial mention count (4), but symbol ambiguity is 'moderate'. Some trial mentions may reflect non-gene uses of 'ACE'. Manual validation recommended. Not classified as a gap candidate."
14,MAPT,microtubule associated protein tau,ENSG00000186868,protein_coding,0.3772403441193385,5,0,3,0,5,0.08641262938161465,0.4203363895277301,0.0,1.0,0.4203363895277301,0.286767,0.253375,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (5), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.09), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
15,GRIN1,glutamate ionotropic receptor NMDA type subunit 1,ENSG00000176884,protein_coding,0.7000358051327009,0,0,0,0,0,0.6852842071808601,0.0,0.0,1.0,0.0,0.274114,0.342642,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
16,SORL1,sortilin related receptor 1,ENSG00000137642,protein_coding,0.6887135105146187,0,0,0,0,0,0.664278334232857,0.0,0.0,1.0,0.0,0.265711,0.332139,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
17,PLCG2,phospholipase C gamma 2,ENSG00000197943,protein_coding,0.55138545916762,1,0,1,0,1,0.40949821270299325,0.16260831227163416,0.0,1.0,0.16260831227163416,0.261364,0.286053,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.41), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
18,MS4A6A,membrane spanning 4-domains A6A,ENSG00000110077,protein_coding,0.5383166652061998,1,0,1,0,1,0.38525211817911453,0.16260831227163416,0.0,1.0,0.16260831227163416,0.251666,0.27393,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.39), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
19,GRIN3B,glutamate ionotropic receptor NMDA type subunit 3B,ENSG00000116032,protein_coding,0.66936011916202,0,0,0,0,0,0.6283726372360295,0.0,0.0,1.0,0.0,0.251349,0.314186,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
20,PICALM,phosphatidylinositol binding clathrin assembly protein,ENSG00000073921,protein_coding,0.5190691988271273,1,0,1,0,1,0.34954294022820176,0.16260831227163416,0.0,1.0,0.16260831227163416,0.237382,0.256076,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.35), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
21,ATP6V1A,ATPase H+ transporting V1 subunit A,ENSG00000114573,protein_coding,0.5182959504544525,1,0,1,0,1,0.348108358491765,0.16260831227163416,0.0,1.0,0.16260831227163416,0.236808,0.255358,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.35), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
22,CSF1R,colony stimulating factor 1 receptor,ENSG00000182578,protein_coding,0.4049383278664958,3,1,1,1,2,0.13779976839665586,0.32521662454326833,0.15957141566993815,0.8404285843300618,0.27332134736550023,0.234681,0.21594,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (3), with low or zero clinical trial text presence (1 mentions). Combined with Open Targets evidence (norm=0.14), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
23,KAT8,lysine acetyltransferase 8,ENSG00000103510,protein_coding,0.5057098773322191,1,0,1,0,1,0.32475783972874994,0.16260831227163416,0.0,1.0,0.16260831227163416,0.227468,0.243683,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.32), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
24,BACE1,beta-secretase 1,ENSG00000186318,protein_coding,0.4227334364529774,2,0,2,0,2,0.17081443571211097,0.257728077256096,0.0,1.0,0.257728077256096,0.222963,0.214271,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (2), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.17), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
25,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,ENSG00000273079,protein_coding,0.6274063661175356,0,0,0,0,0,0.550537248220723,0.0,0.0,1.0,0.0,0.220215,0.275269,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
26,BCHE,butyrylcholinesterase,ENSG00000114200,protein_coding,0.6272161725827728,0,0,0,0,0,0.5501843885432881,0.0,0.0,1.0,0.0,0.220074,0.275092,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
27,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,ENSG00000183454,protein_coding,0.6151782725819345,0,0,0,0,0,0.5278508769621163,0.0,0.0,1.0,0.0,0.21114,0.263925,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
28,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,ENSG00000105464,protein_coding,0.6136111345949934,0,0,0,0,0,0.52494341848695,0.0,0.0,1.0,0.0,0.209977,0.262472,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
29,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,ENSG00000198785,protein_coding,0.6101241550231941,0,0,0,0,0,0.518474142396879,0.0,0.0,1.0,0.0,0.20739,0.259237,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
30,APH1B,aph-1B gamma-secretase subunit,ENSG00000138613,protein_coding,0.6090250464013078,0,0,0,0,0,0.5164350030840293,0.0,0.0,1.0,0.0,0.206574,0.258218,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
31,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,ENSG00000161509,protein_coding,0.6083962283415625,0,0,0,0,0,0.5152683780565085,0.0,0.0,1.0,0.0,0.206107,0.257634,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
32,SHARPIN,SHANK associated RH domain interactor,ENSG00000179526,protein_coding,0.4765564735652801,1,0,1,0,1,0.2706705088309884,0.16260831227163416,0.0,1.0,0.16260831227163416,0.205833,0.216639,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.27), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
33,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,ENSG00000176749,protein_coding,0.6074662113403846,0,0,0,0,0,0.5135429487486519,0.0,0.0,1.0,0.0,0.205417,0.256771,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
34,HFE,homeostatic iron regulator,ENSG00000010704,protein_coding,0.6048602773233976,0,0,0,0,0,0.5087082468866914,0.0,0.0,1.0,0.0,0.203483,0.254354,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,moderate,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
35,CDC25B,cell division cycle 25B,ENSG00000101224,protein_coding,0.5985275901516723,0,0,0,0,0,0.49695942505897917,0.0,0.0,1.0,0.0,0.198784,0.24848,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
36,LRP1,LDL receptor related protein 1,ENSG00000123384,protein_coding,0.4618482608684721,1,0,1,0,1,0.24338285578688423,0.16260831227163416,0.0,1.0,0.16260831227163416,0.194918,0.202996,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.24), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
37,PTK2B,protein tyrosine kinase 2 beta,ENSG00000120899,protein_coding,0.4614475449874801,1,0,1,0,1,0.2426394210708398,0.16260831227163416,0.0,1.0,0.16260831227163416,0.194621,0.202624,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (1), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.24), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
38,CR1,complement C3b/C4b receptor 1 (Knops blood group),ENSG00000203710,protein_coding,0.5926783768207446,0,0,0,0,0,0.48610757601072996,0.0,0.0,1.0,0.0,0.194443,0.243054,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
39,ADRA2B,adrenoceptor alpha 2B,ENSG00000274286,protein_coding,0.5914859782379777,0,0,0,0,0,0.4838953589665823,0.0,0.0,1.0,0.0,0.193558,0.241948,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
40,NOX4,NADPH oxidase 4,ENSG00000086991,protein_coding,0.379211837133377,2,0,1,0,2,0.09007027415837499,0.257728077256096,0.0,1.0,0.257728077256096,0.190665,0.173899,High-priority gap signal,Strong text-supported gap signal,checked_with_mentions,low,reliable,"Literature mentions detected (2), with low or zero clinical trial text presence (0 mentions). Combined with Open Targets evidence (norm=0.09), this may suggest a research-to-clinic gap for this target. Requires expert validation; trial text may not name molecular targets directly."
41,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,ENSG00000113161,protein_coding,0.584711381261442,0,0,0,0,0,0.47132667671945494,0.0,0.0,1.0,0.0,0.188531,0.235663,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
42,GRN,granulin precursor,ENSG00000030582,protein_coding,0.5810506372714668,0,0,0,0,0,0.4645350213401843,0.0,0.0,1.0,0.0,0.185814,0.232268,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,moderate,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
43,EPHA1,EPH receptor A1,ENSG00000146904,protein_coding,0.580575990464643,0,0,0,0,0,0.4636544250603992,0.0,0.0,1.0,0.0,0.185462,0.231827,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
44,FOXO3,forkhead box O3,ENSG00000118689,protein_coding,0.5736355541079968,0,0,0,0,0,0.45077806658103425,0.0,0.0,1.0,0.0,0.180311,0.225389,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
45,ABCA7,ATP binding cassette subfamily A member 7,ENSG00000064687,protein_coding,0.5653009027165964,0,0,0,0,0,0.4353150677721135,0.0,0.0,1.0,0.0,0.174126,0.217658,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
46,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,ENSG00000004779,protein_coding,0.5608605760909913,0,0,0,0,0,0.42707707891108015,0.0,0.0,1.0,0.0,0.170831,0.213539,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
47,BIN1,bridging integrator 1,ENSG00000136717,protein_coding,0.5547057890274468,0,0,0,0,0,0.41565830917933766,0.0,0.0,1.0,0.0,0.166263,0.207829,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
48,SLC6A3,solute carrier family 6 member 3,ENSG00000142319,protein_coding,0.5539395717319444,0,0,0,0,0,0.4142367719642416,0.0,0.0,1.0,0.0,0.165695,0.207118,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
49,GSK3B,glycogen synthase kinase 3 beta,ENSG00000082701,protein_coding,0.5534786397885884,0,0,0,0,0,0.41338162041003723,0.0,0.0,1.0,0.0,0.165353,0.206691,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
50,CDKN2B,cyclin dependent kinase inhibitor 2B,ENSG00000147883,protein_coding,0.5531421294534669,0,0,0,0,0,0.41275730408691624,0.0,0.0,1.0,0.0,0.165103,0.206379,High-priority gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
51,CDKN1A,cyclin dependent kinase inhibitor 1A,ENSG00000124762,protein_coding,0.5503043842101816,0,0,0,0,0,0.40749253064213675,0.0,0.0,1.0,0.0,0.162997,0.203746,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
52,NCK2,NCK adaptor protein 2,ENSG00000071051,protein_coding,0.5487826684396903,0,0,0,0,0,0.4046693424796538,0.0,0.0,1.0,0.0,0.161868,0.202335,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
53,PSAP,prosaposin,ENSG00000197746,protein_coding,0.5479043693118749,0,0,0,0,0,0.40303986360531263,0.0,0.0,1.0,0.0,0.161216,0.20152,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
54,PLK1,polo like kinase 1,ENSG00000166851,protein_coding,0.5419833466167745,0,0,0,0,0,0.39205478905541635,0.0,0.0,1.0,0.0,0.156822,0.196027,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
55,CDK4,cyclin dependent kinase 4,ENSG00000135446,protein_coding,0.5419430517035931,0,0,0,0,0,0.39198003125628744,0.0,0.0,1.0,0.0,0.156792,0.19599,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
56,SMPD1,sphingomyelin phosphodiesterase 1,ENSG00000166311,protein_coding,0.5416821779169125,0,0,0,0,0,0.391496040881251,0.0,0.0,1.0,0.0,0.156598,0.195748,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
57,SCARB1,scavenger receptor class B member 1,ENSG00000073060,protein_coding,0.5345305649908763,0,0,0,0,0,0.37822789360501796,0.0,0.0,1.0,0.0,0.151291,0.189114,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
58,AXL,AXL receptor tyrosine kinase,ENSG00000167601,protein_coding,0.5344078071045751,0,0,0,0,0,0.3780001450213618,0.0,0.0,1.0,0.0,0.1512,0.189,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,moderate,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
59,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,ENSG00000168653,protein_coding,0.5339588476632112,0,0,0,0,0,0.3771672056480093,0.0,0.0,1.0,0.0,0.150867,0.188584,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
60,HTR1A,5-hydroxytryptamine receptor 1A,ENSG00000178394,protein_coding,0.5290229308192081,0,0,0,0,0,0.36800976489907755,0.0,0.0,1.0,0.0,0.147204,0.184005,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
61,AURKB,aurora kinase B,ENSG00000178999,protein_coding,0.5287759633031683,0,0,0,0,0,0.3675515743609219,0.0,0.0,1.0,0.0,0.147021,0.183776,Moderate gap signal,Checked-zero text signal,checked_zero_mentions,low,not_detected,"Not detected in literature or trial text in this corpus. This is a lexical absence — the gene symbol was not found as a standalone token. The target may be referenced via protein name, drug name, or pathway, or may simply not appear in this sample of 478 papers and 1,000 trials."
