nct_id,brief_title,official_title,overall_status,start_date,completion_date,study_type,phases,primary_purpose,enrollment_count,sponsor_name,sponsor_class,conditions,interventions,countries,minimum_age,maximum_age,sex,eligibility_criteria,primary_outcomes,brief_summary,trial_text
NCT03649724,The LUCINDA Trial: LeUprolide Plus Cholinesterase Inhibition to Reduce Neurological Decline in Alzheimer's,The LUCINDA Trial: LeUprolide Plus Cholinesterase Inhibition to Reduce Neurological Decline in Alzheimer's,ACTIVE_NOT_RECRUITING,2020-11-27,2026-07-01,INTERVENTIONAL,PHASE2,TREATMENT,180.0,Weill Medical College of Cornell University,OTHER,Alzheimer Disease|Mild Cognitive Impairment,Placebo|Eligard 22.5Mg Suspension for Injection,United States,60 Years,120 Years,FEMALE,"Inclusion Criteria:

* Female, post-menopausal
* Probable AD or MCI due to AD according to NIA-AA criteria
* Taking a stable dose of a cholinesterase inhibitor such as donepezil/Aricept and dosage likely to remain stable throughout the trial
* MOCA \> 11 or blind MOCA \> 8 (inclusive) at screening visit
* Hachinski score \<5 supporting clinical judgment that dementia is not of vascular origin
* Fluent in English
* has a study partner / caregiver who interacts with the subject for at least 5 hours per week on average and can participate in evaluations

Exclusion Criteria:

* Presence based on exam, history or MRI of significant brain disease other than AD such as schizophrenia, epilepsy, Parkinson's disease or large territory stroke
* Current substance abuse in accord with DSM V criteria
* Significantly depressed (Geriatric Depression Scale \> 10)
* Physical or psychological MRI contraindications, or likely unable to tolerate neuroimaging
* Taking other medications known to affect serum sex hormone or gonadotropin concentrations such as estrogen and/or progesterone for hormone replacement therapy, goserelin or danazol
* Presence of significant systemic illness likely to interfere with participation in or completion of the study or to affect study results such as cancer within 5 years (other than non-melanoma skin cancer), autoimmune disease, recent myocardial infarction, signs/symptoms of organ failure based on history, ECG, screening laboratory and/or physical exams
* Receiving other investigational drugs within 30 days or 5 half-lives prior to randomization, whichever is longer",Percent change in Alzheimer's Disease Assessment Scale-Cognitive Subscale (ADAS-cog-11),"The LUCINDA Trial is a three-site, phase II, randomized, double-blind, placebo-controlled study of leuprolide acetate (Eligard) in women with Mild Cognitive Impairment or Alzheimer's Disease taking a stable dose of a cholinesterase inhibitor medication like donepezil. Its objective is to assess the efficacy of a 48-week regimen of leuprolide (22.5 mg per 12 weeks) compared to placebo on cognitive function, global function and plasma and neuroimaging biomarkers.","The LUCINDA Trial: LeUprolide Plus Cholinesterase Inhibition to Reduce Neurological Decline in Alzheimer's The LUCINDA Trial is a three-site, phase II, randomized, double-blind, placebo-controlled study of leuprolide acetate (Eligard) in women with Mild Cognitive Impairment or Alzheimer's Disease taking a stable dose of a cholinesterase inhibitor medication like donepezil. Its objective is to assess the efficacy of a 48-week regimen of leuprolide (22.5 mg per 12 weeks) compared to placebo on cognitive function, global function and plasma and neuroimaging biomarkers."
NCT02168920,Aripiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type,"A Multicenter, Randomized, Double-blind, Placebo-controlled Trial to Evaluate the Efficacy, Safety, and Tolerability of Aripiprazole in the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type",TERMINATED,2014-06-11,2016-03-18,INTERVENTIONAL,PHASE3,TREATMENT,150.0,"Otsuka Pharmaceutical Co., Ltd.",INDUSTRY,Agitation Associated With Dementia of the Alzheimer's Type,2 mg/day|3 mg/day|6 mg/day|Placebo (0 mg/day),Japan,55 Years,89 Years,ALL,"Inclusion Criteria:

* Patients whose legal representatives can provide informed consent (Informed consent from the patients where possible).
* Patients who satisfy both of the following diagnostic criteria:

  * Diagnosis of major neurocognitive disorder due to Alzheimer's disease according to Diagnostic and Statistical Manual of mental disorders (DSM-5)
  * Diagnosis of probable Alzheimer's disease according to National Institute of Neurological and Communicative Disorders and Stroke and the Alzheimer's Disease and Related Disorders Association (NINCDS-ADRDA)
* Hospitalized patients or care facility patients
* Patients with an Mini-Mental State Examination (MMSE) score of 1 to 22

Exclusion Criteria:

* Patients with complications of dementia or memory impairment other than Alzheimer's type dementia
* Dementia patients with a Modified Hachinski Ischemic Score of 5 or higher
* Patients with psychological symptoms or behavioral disorders that are clearly due to other medical conditions or substances
* Patients with a complication or history of stroke or transient ischemic attack, except for asymptomatic stroke
* Patients with heart failure classified as New York Heart Asscoiation (NYHA） III or IV
* Patients who require drug therapy for arrhythmia or ischemic heart disease
* Body weight of less than 30 kg
* Patients with a high risk of suicide
* Patients with a complication or history of seizure disorder
* Patients with a complication or history of neuroleptic malignant syndrome, tardive dyskinesia, paralytic ileus, or rhabdomyolysis
* Patients with thyroid disease (except if the disease has been stabilized with drug therapy for 3 months or longer prior to time of informed consent)",CMAI,"To evaluate the efficacy (based on mean change in Cohen-Mansfield Agitation Inventory \[CMAI\] total score from baseline as the primary efficacy variable), dose-response, and safety of aripiprazole at 2, 3, and 6 mg/day in comparison with placebo in patients with agitation associated with Alzheimer's type dementia","Aripiprazole for the Treatment of Patients With Agitation Associated With Dementia of the Alzheimer's Type To evaluate the efficacy (based on mean change in Cohen-Mansfield Agitation Inventory \[CMAI\] total score from baseline as the primary efficacy variable), dose-response, and safety of aripiprazole at 2, 3, and 6 mg/day in comparison with placebo in patients with agitation associated with Alzheimer's type dementia"
NCT03697759,A Decision Support System for Self-management of Low Back Pain - PILOTSTUDY,A Decision Support System for Self-management of Low Back Pain - PILOTSTUDY,COMPLETED,2018-08-20,2019-02-17,INTERVENTIONAL,NA,TREATMENT,51.0,University of Southern Denmark,OTHER,Low Back Pain,Usual care + selfBACK,Denmark|Norway,18 Years,,ALL,"Inclusion Criteria:

* Seeking care from primary health-care practice or a specialised outpatient hospital facility (DK) for non-specific LBP within the past 8 weeks
* LBP of any duration
* Mild-to severe pain-related disability rated as 16 or below on the PROMIS-PF4 function scale.
* Age: ≥18 years
* Own and regularly use a smart phone (with at least Android 7.0 or iOS11.0) with internet access (Wi-Fi and/or mobile data)
* Have a working email address and have access to a computer with internet access to complete questionnaires in a web browser.

Exclusion Criteria:

* Not interested
* Unable to speak, read or write in the national language (Danish/ Norwegian)
* Cognitive impairment or learning disabilities
* Pathology, such as fracture, cancer, inflammatory diseases, and signs of radiculopathy (severe leg pain, loss of leg strength, or loss of or altered sensation in a myotomal or dermatomal distribution)
* Serious mental illness, such as major depression, schizophrenia, and psychosis
* Terminal illness
* Unable to take part in exercise/physical activity (such as non-ambulatory patients, use of walking aids/assistance, unable to get down and up from the floor independently)
* Fibromyalgia (diagnosed by a Health Care Professional)
* Pregnancy
* Previous back surgery
* Ongoing participation in other research trials for LBP management",Roland Morris Disability Questionnaire,"The pilot study precedes a larger randomized controlled trial, to be starting in February 2019.

In this pilot study all participants are allocated to the intervention group.

The intervention consists of a digital decision support system delivering a weekly plan of suggested activities that the participant can use to self-manage their low back pain. The plan is presented to the participant in the selfBACK app.","A Decision Support System for Self-management of Low Back Pain - PILOTSTUDY The pilot study precedes a larger randomized controlled trial, to be starting in February 2019.

In this pilot study all participants are allocated to the intervention group.

The intervention consists of a digital decision support system delivering a weekly plan of suggested activities that the participant can use to self-manage their low back pain. The plan is presented to the participant in the selfBACK app."
NCT06679296,Study on Aging and Cognitive Impairment in China,A Longitudinal Study on the Aging of Health and Cognitive Impairment in China,RECRUITING,2024-11-20,2033-12-31,OBSERVATIONAL,,,20000.0,First Affiliated Hospital of Wenzhou Medical University,OTHER,Cognitive Dysfunction|Aging,,China,,,ALL,"Inclusion Criteria:

1. Ability to sign an informed consent form: Participants and/or their legally authorized representatives, in case of diminished decision-making capacity, are capable of reading, understanding, and providing written informed consent as per national legal requirements.
2. Capability to complete assessments independently or with assistance.
3. Willingness and ability to fulfill all study requirements, including peripheral organ function assessments, EEG, lumbar puncture, MRI, and PET imaging examinations.
4. Agreement to participate in follow-up visits.

Exclusion Criteria:

1. Terminal stage of significant diseases such as malignant tumors or autoimmune diseases at enrollment;
2. Substance abusers.","Assessing the prevalence of cognitive impairment in China based on MMSE, MoCA and CDR.|Change in Alzheimer disease biomarkers over time","Background: By the end of 2022, China had about 280 million people aged 60 and older, making up 19.8% of the population. This number is projected to exceed 300 million by the end of the 14th Five-Year Plan and 400 million by 2035, which would be over 30%. The 20th National Congress emphasized the need for a proactive strategy to tackle aging challenges. Approximately 6.04% of the elderly have dementia, with 3.94% having Alzheimer's disease. This totals around 15 million people with dementia. To address this, the China Cohort Consortium on Aging and Cognitive Impairment Development has been proposed to study health and cognitive changes in different age groups, aiming to support healthy aging policies. Methods: Participants from various age groups (children, youth, middle-aged, elderly) will be recruited from hospitals, schools, and communities using stratified sampling. They will undergo detailed medical examinations focusing on aging, cognitive impairments, and related diseases. A new database will track healthy aging and cognitive impairment development. Content: The study will involve comprehensive medical examinations, including physiological assessments, psychological evaluations, cognitive screenings, daily life assessments, imaging studies, and blood tests, to establish a detailed health and cognitive impairment database. The research will also investigate integrated intervention models in hospital, community, and home settings, develop remote medical management systems, and devise biomarker test kits for aging and cognitive impairments. Furthermore, it will concentrate on non-pharmacological interventions and artificial intelligence systems for the early detection, prevention, and treatment of aging-related conditions. Objectives: The China Cohort Consortium on Aging and Cognitive Impairment Development, commencing with the HAPCAD study, aims to monitor changes across various age groups, evaluate the impact of aging on health and cognitive function, and design targeted interventions. The objective is to enhance health management and services related to aging, establish effective strategies, develop therapeutic drugs, and promote healthy aging.","Study on Aging and Cognitive Impairment in China Background: By the end of 2022, China had about 280 million people aged 60 and older, making up 19.8% of the population. This number is projected to exceed 300 million by the end of the 14th Five-Year Plan and 400 million by 2035, which would be over 30%. The 20th National Congress emphasized the need for a proactive strategy to tackle aging challenges. Approximately 6.04% of the elderly have dementia, with 3.94% having Alzheimer's disease. This totals around 15 million people with dementia. To address this, the China Cohort Consortium on Aging and Cognitive Impairment Development has been proposed to study health and cognitive changes in different age groups, aiming to support healthy aging policies. Methods: Participants from various age groups (children, youth, middle-aged, elderly) will be recruited from hospitals, schools, and communities using stratified sampling. They will undergo detailed medical examinations focusing on aging, cognitive impairments, and related diseases. A new database will track healthy aging and cognitive impairment development. Content: The study will involve comprehensive medical examinations, including physiological assessments, psychological evaluations, cognitive screenings, daily life assessments, imaging studies, and blood tests, to establish a detailed health and cognitive impairment database. The research will also investigate integrated intervention models in hospital, community, and home settings, develop remote medical management systems, and devise biomarker test kits for aging and cognitive impairments. Furthermore, it will concentrate on non-pharmacological interventions and artificial intelligence systems for the early detection, prevention, and treatment of aging-related conditions. Objectives: The China Cohort Consortium on Aging and Cognitive Impairment Development, commencing with the HAPCAD study, aims to monitor changes across various age groups, evaluate the impact of aging on health and cognitive function, and design targeted interventions. The objective is to enhance health management and services related to aging, establish effective strategies, develop therapeutic drugs, and promote healthy aging."
NCT05418296,Assessing a Novel Virtual Environment That Assists With Activities of Daily Living,Assessing a Novel Virtual Environment That Primes Individuals Living With AD/ADRD to Accomplish Activities of Daily Living,COMPLETED,2022-06-09,2023-10-30,INTERVENTIONAL,NA,SUPPORTIVE_CARE,38.0,mandy,INDUSTRY,Dementia|Alzheimer Disease|Neurodegenerative Diseases,A novel digital health device,United States,,110 Years,ALL,"Inclusion Criteria:

The subject will have a diagnosis of AD/ADRD, or symptoms of an undiagnosed AD/ADRD as observed by professional care staff and confirmed by the head of clinical care. The investigators will neither include nor exclude participation based on cognitive test scores. The subject will have had challenge(s) completing one or more ADLs in the previous month, as discussed at staff meetings, referenced in care plans, or observed/experienced by direct care staff.

Other specifications:

* Understand English or Russian.
* Can sit comfortably for at least 15 minutes in a chair/wheelchair at a table or propped up in bed or princess chair with a tray table
* Are not known to be in pain
* Have good vision, or good corrected vision (i.e., glasses)
* Have good hearing, or good corrected hearing (i.e., aids)
* May sometimes have anxiety or agitation when undertaking ADLs.

Exclusion Criteria:

Ineligible subjects are those with significant non-AD/ADRD neurological, psychiatric, or physical impairment or those who are totally dependent upon others for ADLs.",Alzheimer's Disease Cooperative Study Activities of Daily Living (ADCS-ADL- Severe)|The Neuropsychiatric Inventory - Nursing Home Version (NPI-NH) The Minimum and Maximum Values Are A Higher Score Means a Better or Worse Outcome.,"This Phase 1 study looks at how a new videogame-based program can help residents and care partners prepare for ADLs in a fun way with minimal risk, potentially reducing escalating problems associated with ADL completions.","Assessing a Novel Virtual Environment That Assists With Activities of Daily Living This Phase 1 study looks at how a new videogame-based program can help residents and care partners prepare for ADLs in a fun way with minimal risk, potentially reducing escalating problems associated with ADL completions."
NCT03933696,"Light, Metabolic Syndrome and Alzheimer's Disease - Aim 2","Light, Metabolic Syndrome and Alzheimer's Disease: A Non-Pharmocological Approach",COMPLETED,2019-01-02,2025-05-31,INTERVENTIONAL,NA,TREATMENT,25.0,Icahn School of Medicine at Mount Sinai,OTHER,Mild Cognitive Impairment|Alzheimer Disease|Type2 Diabetes,Tailored Lighting Intervention,United States,55 Years,,ALL,"Inclusion Criteria:

* Mild cognitive impairment
* Mild Alzheimer's Disease
* Sleep Disturbance
* Live at home

Exclusion Criteria:

* Blindness
* insulin-dependent diabetes patients
* macular degeneration
* severe sleep apnea",Metabolic control,"To test the long term effect of a light treatment on cognition, sleep and metabolism in patients with Mild cognitive impairment (MCI) or mild Alzheimer's disease or related dementia (ADRD).","Light, Metabolic Syndrome and Alzheimer's Disease - Aim 2 To test the long term effect of a light treatment on cognition, sleep and metabolism in patients with Mild cognitive impairment (MCI) or mild Alzheimer's disease or related dementia (ADRD)."
NCT01117818,"Clinical- and Immunological Activity, Safety and Tolerability of Different Doses / Formulations of AFFITOPE AD02 in Early Alzheimer's Disease","A Randomized, Controlled, Parallel Group, Double-blind, Multi-center, Phase II Study to Assess the Clinical- and Immunological Activity,as Well as the Safety and Tolerability of Different Doses/Formulations of AFFITOPE AD02 Administered Repeatedly to Patients With Early Alzheimer's Disease",COMPLETED,,,INTERVENTIONAL,PHASE2,TREATMENT,335.0,Affiris AG,INDUSTRY,Alzheimer's Disease,active: AFFITOPE AD02|control: Placebo,Austria|Croatia|Czechia|France|Germany|Slovakia,50 Years,80 Years,ALL,"Inclusion Criteria:

* Informed consent capability
* Early AD, based on episodic memory deficit and hippocampal atrophy
* Age from 50 to 80, inclusive
* MMSE of 20+
* Brain magnetic resonance imaging scan consistent with the diagnosis of AD
* Stable doses of medications (cholinesterase inhibitors and memantine allowed)
* Caregiver able to attend all visits with patient

Exclusion Criteria:

* Significant neurological disease other than AD
* Major psychiatric illness
* Significant systemic illness
* Autoimmune disease
* Prior treatment with experimental immunotherapeutics for AD including IVIG
* Women of childbearing potential without birth control
* Contraindication for MRI scan",cognitive(ADAS-cog modified) and functional(ADCS-ADL modified),This is a multiple vaccination study to find out if it is a safe treatment and what effects it has on the symptoms of early Alzheimer's disease in male and female patients aged 50 to 80 years. Approximately 40 study sites in Europe will be involved. Patients will be randomized to receive either AFFITOPE AD02 or placebo. Each patient's participation will last 1 year.,"Clinical- and Immunological Activity, Safety and Tolerability of Different Doses / Formulations of AFFITOPE AD02 in Early Alzheimer's Disease This is a multiple vaccination study to find out if it is a safe treatment and what effects it has on the symptoms of early Alzheimer's disease in male and female patients aged 50 to 80 years. Approximately 40 study sites in Europe will be involved. Patients will be randomized to receive either AFFITOPE AD02 or placebo. Each patient's participation will last 1 year."
NCT00438568,SNIFF 120: Study of Nasal Insulin to Fight Forgetfulness (120 Days),Therapeutic Effects of Intranasal Insulin Administration in AD,COMPLETED,,,INTERVENTIONAL,PHASE2,TREATMENT,173.0,University of Washington,OTHER,Mild Cognitive Impairment|Alzheimer's Disease,Regular Insulin|Placebo,United States,55 Years,,ALL,"Inclusion Criteria:

* Age 55 or greater
* Good physical health
* Memory impairment with a diagnosis of mild cognitive impairment (MCI) or Alzheimer's disease (AD)
* Participants on stable doses of Memantine (Namenda) or cholinesterase inhibitors will be eligible

Exclusion Criteria:

* Chronic sinus problems/allergies with chronic use of nasal decongestants or antihistamines
* Significant neurologic disease that might affect cognition (other than AD), such as stroke, Parkinson's disease, multiple sclerosis, severe head injury with loss of consciousness for more than 30 minutes or with permanent neurologic symptoms
* Significant medical illness or organ failure, such as uncontrolled hypertension or cardiovascular disease, chronic obstructive pulmonary disease, liver disease, or kidney disease
* Preexisting diabetes or current or previous use of hypoglycemic agents or insulin; participants will be excluded if they have a fasting blood sugar greater than 165 on baseline OGTT
* Clinically significant elevations in liver function tests, cholesterol, or triglycerides
* Major psychiatric disorders (e.g., untreated major depression and schizophrenia)
* Chronic use of the following types of medications: anti-psychotic, anxiolytic, and opiates",Changes in cognition|glucose metabolism|plasma biological markers,"The purpose of this study is to find out if insulin, when administered as a ""nasal spray"" into the nasal passages, improves memory in adults with mild cognitive impairment (MCI) or Alzheimer's disease.","SNIFF 120: Study of Nasal Insulin to Fight Forgetfulness (120 Days) The purpose of this study is to find out if insulin, when administered as a ""nasal spray"" into the nasal passages, improves memory in adults with mild cognitive impairment (MCI) or Alzheimer's disease."
NCT02187627,"Evaluation of [11C]RO6924963, [11C]RO6931643, and [18F]RO6958948 as Tracers for Positron Emission Tomography (PET) Imaging of Tau in Healthy and Alzheimer's Disease (AD) Participants","Evaluation of [11C]RO6924963, [11C]RO6931643, and [18F]RO6958948 as Tracers for Tau Imaging With Positron Emission Tomography in Healthy Control Subjects and Subjects With Alzheimer's Disease",COMPLETED,2014-08-31,2016-02-29,INTERVENTIONAL,PHASE1,BASIC_SCIENCE,52.0,Hoffmann-La Roche,INDUSTRY,"Alzheimer's Disease, Healthy Volunteer",[11C]RO6924963|[11C]RO6931643|[18F]RO6958948,United States,25 Years,,ALL,"Inclusion Criteria:

Inclusion Criteria for All Participants

* Agreement to use highly effective contraception measures
* If participants are on any concomitant medication, the indication and dosage of these medicines should be stable for at least 4 weeks prior to study start with the expectation that no relevant changes in use or dose will occur throughout the study
* Body mass index (BMI) between 18 and 32 kilograms per square meter (kg/m\^2)
* Weight less than or equal to (\</=) 300 pounds (lb)

Inclusion Criteria for Healthy Control Participants

* Healthy ""young"" control participants aged 25-40 years or healthy ""elderly"" control participants aged greater than or equal to (\>/=) 50 years
* Normal cognitive function, including a normal Mini Mental State Examination (MMSE) score as judged by the investigator
* Healthy control participants who participate in Part 2B: must be less than (\<) 195 centimeter (cm) (6 feet, 5 inches) tall in order to accommodate the whole body scanning

Inclusion Criteria for Participants with a Diagnosis of Probable AD

* Diagnosis of probable AD, according to the National Institute of Neurological and Communicative Disorders and Stroke/Alzheimer's Disease and Related Disorders Association criteria
* Participants aged \>/= 50 years
* A study partner able to accompany the participant to all visits and answer questions about the participant
* MMSE score between 16 and 26, inclusive

Exclusion Criteria:

Exclusion Criteria for All Participants

* History or presence of a neurological diagnosis other than AD that may influence the outcome or analysis of the scan results; examples include but are not limited to stroke, traumatic brain injury, space occupying lesions, non-Alzheimer's tauopathies, and Parkinson's disease
* Participants with a medical history that includes known autosomal dominant AD mutations in amyloid precursor protein (APP) or presenilin (PS1, PS2) or mutations in genes that cause other types of autosomal dominant familial dementia
* History or presence of any clinically relevant hematological, hepatic, respiratory, cardiovascular, renal, metabolic, endocrine, or central nervous system disease or other medical conditions that are not well controlled, may put the participant at risk, could interfere with the objectives of the study, or make the participant unsuitable for participation in the study for any other reason in the opinion of the principal investigator
* Clinically relevant pathological findings in physical examination, electrocardiogram, or laboratory values at the screening assessment that could interfere with the objectives of the study
* Known history of clinically significant infectious disease including acquired immunodeficiency syndrome (AIDS) or serological indication of acute/chronic hepatitis B or C or human immunodeficiency virus infection
* Pregnancy or lactation
* Unsuitable veins for repeated venipuncture
* Current symptoms of allergy and/or severe allergy to drugs in medical history
* Alcohol consumption that averages \>3 drinks daily or regular smoker (\>10 cigarettes, \>3 pipefuls, or \>3 cigars per day)
* Coffee (or tea) consumption \>10 cups per day or methylxanthine-containing drinks \>1.5 liters per day (L/day)
* Have received an investigational medication within the last 3 months or 5 times (x) the elimination half-life, whichever is longer, prior to Day 1 (i.e., enrollment)

Exclusion Criteria Related to Trial Procedures

* Presence of pacemakers; aneurysm clips; artificial heart valves; ear implants; foreign metal objects in the eyes, skin, or body, or any other circumstance (e.g. claustrophobia) that would contraindicate a magnetic resonance imaging (MRI) scan
* For participants of Part 1 and Part 2A, any contraindications to arterial cannulation

Exclusion Criterion for Participants with Probable Alzheimer's Disease

* Has received treatment that targeted amyloid-beta or tau within the last 24 months","Part 1: Standard Uptake Value (SUV), as Assessed by Tau PET Brain Scan|Part 1: Standard Uptake Value Ratio (SUVR), as Assessed by Tau PET Brain Scan|Part 1: SUV, as Assessed by Tau PET Scan of Whole Body|Part 1: SUVR, as Assessed by Tau PET Scan of Whole Body|Mean Residence Times for Each Organ, as Assessed by Tau PET Scan of Whole Body|Part 1: Distribution Volume (VT), as Assessed by Tau PET Brain Scan","This study is designed to obtain basic information on three PET imaging tracers developed to detect tau pathology in the brain. In this study, healthy control participants and participants with AD will be studied. Information collected will include brain and plasma kinetics, tissue distribution (in the brain), radiation dosimetry, and test-retest variability of the signal in the brain. The study will consist of Part 1, Part 2A, and Part 2B. During Part 1, imaging data will be assessed on an ongoing basis and based on data, one tracer will be prioritized over the other two tracers. The tracer selected will be further investigated in Part 2A and Part 2B.","Evaluation of [11C]RO6924963, [11C]RO6931643, and [18F]RO6958948 as Tracers for Positron Emission Tomography (PET) Imaging of Tau in Healthy and Alzheimer's Disease (AD) Participants This study is designed to obtain basic information on three PET imaging tracers developed to detect tau pathology in the brain. In this study, healthy control participants and participants with AD will be studied. Information collected will include brain and plasma kinetics, tissue distribution (in the brain), radiation dosimetry, and test-retest variability of the signal in the brain. The study will consist of Part 1, Part 2A, and Part 2B. During Part 1, imaging data will be assessed on an ongoing basis and based on data, one tracer will be prioritized over the other two tracers. The tracer selected will be further investigated in Part 2A and Part 2B."
NCT02380573,"Effects of Methylene Blue in Healthy Aging, Mild Cognitive Impairment and Alzheimer's Disease","Cognitive and Functional Connectivity Effects of Methylene Blue in Healthy Aging, Mild Cognitive Impairment and Alzheimer's Disease",COMPLETED,,,INTERVENTIONAL,PHASE2,TREATMENT,117.0,The University of Texas Health Science Center at San Antonio,OTHER,Mild Cognitive Impairment|MCI|Aging|Alzheimer's Disease|AD,Methylene Blue|FD&C Blue # 2|Phenazopyridine hydrochloride,United States,45 Years,89 Years,ALL,"Inclusion Criteria for all subjects:

1. 45-89 years old
2. All genders
3. All minorities
4. English, Spanish, or multilingual speakers
5. Postmenopausal or surgically sterile females only.
6. Inclusion for MCI group only: participants will meet the criteria for amnestic and non-amnestic MCI such as those currently used by Texas Alzheimer's Research and Care Consortium (TARCC) consensus diagnosis
7. Inclusion for AD group only: Alzheimer's Early-stage, sporadic-type

Exclusion Criteria:

1. Pregnancy or breastfeeding
2. Contraindication for MRI (Claustrophobia and magnetic metal implants)
3. Glucose-6-phosphate deficiency, methemoglobinemia
4. Allergy to MB
5. Color-blindness
6. Craniotomy, craniectomy or endovascular neurosurgery
7. A current diagnosis of stroke, transient ischemic attack (TIA), any primary neurodegenerative disorder, or any other causes of neuropsychologic disturbances or secondary dementia (MCI or AD does not exclude subject)
8. A serious intercurrent illness likely to cause death within the next 5 years, such as terminal cancer
9. Alcohol and/or drug abuse
10. Any detection of an unknown disease process (eg. new tumor) on the study's neuroimaging at the discretion of the investigators
11. A systolic blood pressure ≥180 mmHg and/or a diastolic blood pressure ≥105 mmHg
12. Severe difficulty or an inability to perform any one of the 6 Katz Activities of Daily Living
13. Patients who are unlikely to comply with trial visit schedule or with trial medication,
14. On any psychiatric serotonergic antidepressant medication or psychotropic medication within the last 5 weeks
15. Diagnosis of epilepsy, traumatic brain injury with loss of consciousness, psychosis, panic attacks,
16. Chronic kidney disease, cirrhosis, liver or renal transplants
17. Known hypersensitivity to thiazide diuretics and phenothiazines
18. Any other condition, which in the opinion of the investigator, would put the participant at risk and warrant exclusion from the study","fMRI Measurement|Wechsler Memory Scale, Third Edition|fMRI During FNAME|FNAME|fMRI During Psychomotor Vigilance Task|Psychomotor Vigilance Task|Wechsler Memory Scale III, Logical Memory Subset|Mini-Mental State Exam (MMSE)|CLOX: An Executive Clock Drawing Test","A double-blind, placebo-controlled study that aims to investigate the effect of 2-week and 12-week administration of USP methylene blue (MB) on cerebral blood flow, functional connectivity, memory and attention cognitive abilities using fMRI and behavioral measures in healthy aging, mild cognitive impairment (MCI) and mild Alzheimer's disease (AD) subjects.","Effects of Methylene Blue in Healthy Aging, Mild Cognitive Impairment and Alzheimer's Disease A double-blind, placebo-controlled study that aims to investigate the effect of 2-week and 12-week administration of USP methylene blue (MB) on cerebral blood flow, functional connectivity, memory and attention cognitive abilities using fMRI and behavioral measures in healthy aging, mild cognitive impairment (MCI) and mild Alzheimer's disease (AD) subjects."
NCT00582127,Evaluation of the COGNISION(TM) System as an Event-related Potential (ERP) Collection System.,Evaluation of a Handheld Evoked Response Potentials (ERP) System as an Effective Method to Diagnose Alzheimer's Disease,COMPLETED,,,OBSERVATIONAL,,,50.0,"Neuronetrix, Inc.",INDUSTRY,Alzheimer's Disease,,United States,60 Years,85 Years,ALL,"Inclusion Criteria for AD:

* Age 60 to 85
* Mild to moderate diagnosis of Alzhiemer's disease

Inclusion Criteria for Control:

* Age 60 to 85
* Cognitively healthy with no complaints

Exclusion Criteria:

* Subjects with advanced AD and severe impairment (CDR \> 2, MMSE less than 15)
* Neurological disorders such as stroke, Parkinson's disease, Huntington's disease, multiple sclerosis, brain tumor, delirium, or psychiatric disorder other than depression (e.g. schizophrenia)
* Subjects with life threatening illnesses and subjects with significant hearing or visual impairments
* Subjects with a current prescription for psychoactive pharmaceuticals",Signal to noise ratio (SNR) of ERPs,"This study will evaluate a handheld event-related potential (ERP) testing device from Neuronetrix, Inc. as a method to collect ERP data in an outpatient setting.

An ERP system records electrical signals at the scalp that are produced by the brain when performing cognitive tasks. By doing this study, we hope to evaluate various performance parameters of the COGNISION(TM) system.","Evaluation of the COGNISION(TM) System as an Event-related Potential (ERP) Collection System. This study will evaluate a handheld event-related potential (ERP) testing device from Neuronetrix, Inc. as a method to collect ERP data in an outpatient setting.

An ERP system records electrical signals at the scalp that are produced by the brain when performing cognitive tasks. By doing this study, we hope to evaluate various performance parameters of the COGNISION(TM) system."
